음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
2389,242,버거_트리플딥치즈싸이 버거,11.4,12.94,19.85,3.68,39.34
2390,283,버거_트리플치즈 버거,16.44,15.98,19.63,4.11,49.32
2391,217,버거_티렉스버거 T-REX 버거,12.21,,,3.29,
2394,240,버거_페퍼로니피자 치킨 버거,12.15,13.77,16.6,4.05,39.27
2400,215,버거_한우트러플머쉬룸 버거,9.23,,,6.64,
2410,263,버거_햄버거,12.87,8.91,32.67,6.93,21.78
2413,289,버거_화이트갈릭싸이 버거,14.07,17.38,19.01,3.8,37.26
2438,339,버터빵_뺑오플레르,8.2,,,1.3,
2439,387,버터빵_소금버터롤,11.29,,,8.06,
2435,374,버터빵_고메소금빵,9.43,,,3.77,
2436,365,버터빵_버터 소금빵,8,,,5.33,
2437,320,버터빵_버터롤,8,11,48,11,15
2440,432,버터빵_소금빵,15.38,,,9.23,
2441,432,버터빵_약과 버터바,4.05,,,22.3,
2443,424,번_딸기번,8.42,15.79,62.11,10.53,30
2444,369,번_로띠번,9.47,12.63,53.68,12.63,
2445,400,번_모카번,6.67,,,6.67,
2446,335,번_모카빵,6.42,,,20.18,
2447,336,번_미니모카빵,7.27,,,20,
2448,360,번_바닐라번,8.42,12,53.68,12.63,
2449,351,번_쁘띠모카빵,8.33,,,6.94,
2450,352,번_아몬드모카빵,9,,,20,
2451,304,번_악마의 초코번,5.66,,40.57,8.49,
2452,304,번_악마의 크림번,5.71,,40.95,8.57,
2453,400,번_오리지널 핫 번,6.67,,,6.67,
2455,396,번_초코번,8.42,16,53.68,16.84,25
2456,392,번_치즈번,6.67,,,16.67,
2457,381,번_카페모카빵,8.68,,,21.13,
2458,387,번_커피번,7.25,,,8.7,
2459,423,번_커피콩빵,8.57,,,30,
2460,295,번_쿠키&크림 번버거,4.18,,,17.21,
2461,359,번_크림치즈번,8.57,16,55.24,16,55
2462,282,번_티라미수 번버거,4.61,,,15.97,
2463,337,번_플레이번 모카,9.2,8.05,54.02,11.49,
2464,343,번_플레이번 바닐라,9.2,9.2,54.02,12.64,
2465,392,번_핫 치즈번,6.67,,,16.67,
2466,401,번_호두카야번,8.57,15.24,55.24,22,50
2454,316,번_옥수수콘크림번,5.75,16.09,37.93,12.64,45.98
2470,328,베이글_깜빠뉴 베이글,10.91,8.18,52.73,10,0
2471,310,베이글_뉴욕 치즈 타르트,6,,,16,
2474,261,베이글_리얼 블루베리 베이글,10,,,7,
2475,273,베이글_리얼 치즈 베이글,10.91,,,5.45,
2478,301,베이글_메이플 크림치즈 베이글,10.59,,,6.47,
2482,292,베이글_바질&토마토 크림치즈 베이글,9.29,,,5.46,
2487,294,베이글_베이컨 파 크림치즈 베이글,7.22,,,6.67,
2493,269,베이글_블루베리 베이글&크림치즈,8.7,,,5.07,
2492,325,베이글_블루베리 베이글,10.91,,,13.64,
2496,306,베이글_블루베리베이글&크림치즈,11,,,8,
2495,284,베이글_블루베리 베이글허니월넛크림치즈,7.37,,,8.42,
2497,375,베이글_뺑오레젱,5.88,,,13.24,
2503,290,베이글_어니언 베이글,9.7,,,13.23,
2505,293,베이글_어니언베이글&크림치즈,10,,,5,
2507,227,베이글_에그 햄 치즈 베이글,11.43,,33.33,5.71,
2508,322,베이글_월넛 크림치즈 베이글,10,,,6.67,
2511,324,베이글_치즈 베이글,10,,,7.27,
2512,241,베이글_컬러 베이글,5.73,,,6.36,
2514,329,베이글_크로플 with 젤라또,4.74,,,15.79,
2515,319,베이글_크림치즈 베이글,9,,,3,
2521,298,베이글_플레인 베이글&크림치즈,10,,,4,
2519,316,베이글_플레인 베이글,10.91,,,10,
2525,264,베이글_플레인베이글,9.09,,,8.18,
2523,239,베이글_플레인 베이글피자,7.78,,,5.56,
2524,305,베이글_플레인 베이글허니월넛크림치즈,7.37,,,7.37,
2526,277,베이글_호두베이글,10.91,,,6.36,
2469,320,베이글_갈릭크림치즈 베이글,7.35,11.76,45.59,7.35,22.06
2472,288,베이글_데일리블루베리 베이글,8.57,,,9.52,
2473,370,베이글_데일리월넛 베이글,9.52,,,8.57,
2476,303,베이글_멀티그레인 베이글,9.02,9.02,45.9,5.74,4.1
2477,296,베이글_멀티그레인 베이글&허니월넛크림치즈,8.38,8.38,46.11,5.99,5.99
2479,276,베이글_메이플피칸 베이글,7.76,7.76,44.83,6.03,0
2480,285,베이글_무화과 크림치즈 베이글,6.7,8.4,45.7,14,
2481,268,베이글_바질 베이글,10,2.73,50.91,3.64,0
2483,353,베이글_버터 베이글,10,,58,13,0
2484,249,베이글_베이글 먹물치즈,9.52,1.43,49.52,6.67,0
2485,286,베이글_베이글 크랜베리·호두,13.33,5.71,47.62,5.71,0
2486,200,베이글_베이글 플레인,20.95,7.62,10.48,1.9,0
2488,325,베이글_베이컨갈릭크림치즈,11,15.9,34.4,9.2,
2490,279,베이글_블랙올리브 베이글&어니언부추크림치즈,7.54,12.06,34.17,5.03,35.18
2489,288,베이글_블랙올리브 베이글,7.5,5.83,50,5.83,8.33
2491,274,베이글_블랙올리브치즈 베이글,7.94,6.35,44.44,5.56,7.94
2494,273,베이글_블루베리 베이글&허니월넛크림치즈,6.83,3.73,49.07,11.8,6.21
2498,283,베이글_소시지 인 치즈 베이글,12.96,,,1.85,
2500,271,베이글_시금치바질&토마토크림치즈,7.32,9.76,38.54,5.37,29.27
2499,273,베이글_시금치바질 베이글&플레인크림치즈,7.5,9.5,38.5,5.5,35
2501,289,베이글_씨앗 베이글,8.94,6.5,47.97,5.69,4.07
2502,305,베이글_씨앗 베이글&솔티드카라멜크림치즈,8,12.5,40,7.5,32.5
2504,258,베이글_어니언 베이글&고추장아찌크림치즈,7,9.5,35.5,5.5,11.5
2506,299,베이글_어니언치즈크림,2.9,25.4,14.7,11.6,
2509,297,베이글_쪽파 베이컨 크림치즈 베이글,9.2,13.4,35,6.8,
2510,284,베이글_쫀득쫀득소시지 베이글,12.61,16.22,20.72,2.7,31.53
2513,226,베이글_콘치즈피자 베이글,8.33,9.03,28.47,5.56,3.4
2516,279,베이글_크림치즈 프레즐,8,,,8,
2517,273,베이글_트러플치즈 베이글,10,3.18,50,5.45,5.45
2518,242,베이글_플레인 리코타 치즈 베이글,8.33,,,7.5,
2520,300,베이글_플레인 베이글&솔티드카라멜크림치즈,7.18,13.33,36.92,9.23,38.46
2522,290,베이글_플레인 베이글&허니월넛크림치즈,7.93,5.49,51.22,6.71,9.15
2892,191,샌드위치_B.E.L.T. 샌드위치,8.09,,,2.98,
2893,225,샌드위치_B.L.T 샌드위치,8.3,7.88,30.29,3.32,23.24
2895,232,샌드위치_BELT 클럽 샌드위치,9.47,,,3.16,
2896,179,샌드위치_BLT 샌드위치,7.62,,,4.29,
2897,241,샌드위치_NEW 파니니 불고기 에그,10.45,,,2.27,
2898,228,샌드위치_고르곤졸라 불고기 파니니,9,1.5,,27,
2899,184,샌드위치_그릭치킨 샌드위치,12.22,5,22.22,2.78,17.22
2901,181,샌드위치_꽃살크래미 반미 샌드위치,5.58,,25.28,3.35,
2902,186,샌드위치_단호박 에그 샌드위치,6.32,,,3.16,
2904,181,샌드위치_단호박크림치즈 샌드위치,4.38,7.66,23.36,6.2,14.6
2907,296,샌드위치_대만식 샌드위치 에그듬뿍샌드,7.5,,,5,
2908,329,샌드위치_대만식 샌드위치 초코크림샌드,5.71,,,17.14,
2909,234,샌드위치_대만식 샌드위치 햄치즈,11.69,,,5.19,
2911,383,샌드위치_돌코롬 쫍지롱 와플 샌드,7.14,,,16.67,
2912,286,샌드위치_딸기 에그 번 샌드위치,6.37,,,13.16,
2913,153,샌드위치_떡갈비 치즈 곡물 샌드위치,1.93,7.25,,8.7,
2914,394,샌드위치_룻티아 오 샌드 피넛,6.25,,,13.75,
2915,225,샌드위치_리코타 딸기 샌디,3.38,,,18,
2918,213,샌드위치_먹물치킨 치아바타,15.56,,,1.48,
2919,264,샌드위치_멕시칸 파니니,13.76,,,2.75,
2921,171,샌드위치_멜팅치즈&비프 샌드위치,11.42,,,2.28,
2923,293,샌드위치_무화과 햄 바게트 샌드위치,7.86,,,9.29,
2924,254,샌드위치_미트 번 샌드위치,5.89,,,7.26,
2925,273,샌드위치_바베큐 치킨 깜빠뉴 샌드위치,14,,,2.67,
2926,159,샌드위치_바베큐치킨 파니니,14.75,,,8.29,
2927,205,샌드위치_바질 토마토&치킨 샌드위치,10.77,,,3.59,
2929,240,샌드위치_반반마요 에그 감자 샌드위치,9.12,,,3.16,
2931,238,샌드위치_베리머치감자 샌드위치,3.33,,,6.67,
2932,324,샌드위치_베리머치에그 샌드위치,8.57,,,1.9,
2933,283,샌드위치_베이컨체다 베이글,10.12,,,5.36,
2936,260,샌드위치_브렉퍼스트 잉글리쉬 머핀,12,,,2,
2937,253,샌드위치_브리젤라,5.26,,,16.84,
2938,213,샌드위치_비프&에그 샌드위치,10.45,,,1.82,
2939,206,샌드위치_사라다빵,4.8,,,4.27,
2941,185,샌드위치_샐러드빵,6.92,,,8.46,
2944,230,샌드위치_소불고기 깜빠뉴 샌드위치,10,,,1.43,
2946,277,샌드위치_소프트 잠봉뵈르 샌드위치,9.14,,,2.86,
2947,279,샌드위치_스크램블에그 샌드위치,10.59,,,4.12,
2948,193,샌드위치_스파이시치킨샐러드랩,6.44,,,2.58,
2949,198,샌드위치_식물성대체육옴미니트샐러드랩,6.94,,,2.45,
2950,241,샌드위치_에그 마요 샌드위치,11.48,,,1.48,
2951,316,샌드위치_에그 반미 샌드위치,8.55,,,4.4,
2952,289,샌드위치_에그 번 샌드위치,6.95,,,7.85,
2953,261,샌드위치_에그 베이컨 과카몰리 샌드위치,9.44,,,3.33,
2954,237,샌드위치_에그마요 반미 샌드위치,7.95,,20.86,0.99,
2961,182,샌드위치_오리지널 불고기 반미 샌드위치,9.6,,21.52,3.64,
2962,283,샌드위치_올리브 베이컨 치아바타 샌드위치,12.63,,,1.52,
2963,265,샌드위치_올리브치킨 파니니,16.02,,,0.49,
2965,218,샌드위치_잉글리쉬 머핀 샌드위치,11.67,8.33,24.17,3.33,46.67
2966,100,샌드위치_잉글리쉬머핀 샌드위치,4.95,,,1.06,
2967,248,샌드위치_잠봉 멀티그레인 파니니,8,,,2.5,
2968,290,샌드위치_잠봉뵈르 샌드위치,15.48,,,2.58,
2969,216,샌드위치_제주 흑돼지 아보카도 샌드위치,7.78,,,3.59,
2970,261,샌드위치_제주당근에그마요 샌드위치,10,,,2.01,
2972,196,샌드위치_참치클럽 샌드위치,8,,,3,
2974,161,샌드위치_추억의야채사라다빵,4,,,6,
2975,282,샌드위치_치즈 파니니,10.26,,,2.56,
2976,202,샌드위치_치킨 클럽,8.75,,,2.08,
2977,233,샌드위치_칠리소시지바게트 샌드위치,10.92,,,2.52,
2980,237,샌드위치_콘 치즈 샌드위치,5.38,,,4.48,
2981,201,샌드위치_콘참치샌드,5,,,11.25,
2982,183,샌드위치_콤비네이션 샌드위치,8.47,,,5.29,
2984,259,샌드위치_쿠키 & 크림 샌디,3.6,,,17.31,
2985,238,샌드위치_크랜베리 치킨 샌드위치,7.5,,,9.58,
2986,220,샌드위치_크랜베리 치킨 치즈 샌드위치,8.76,,,4.12,
2988,197,샌드위치_크랜베리치킨 샌드위치,7.79,9.02,20.9,6.15,14.34
2989,257,샌드위치_크로크 무슈,11.18,,,2.35,
2990,294,샌드위치_크로크무슈,13.75,6.25,,3.75,
2991,218,샌드위치_클래식루벤 샌드위치,13.62,,,1.88,
2992,247,샌드위치_토마토모짜렐라 샌드위치,10.67,14.61,18.54,2.81,22.47
2995,226,샌드위치_통밀후레쉬 샌드위치,7.83,,,6.09,
2997,164,샌드위치_트리플머쉬룸치즈 파니니,7.52,,,2.65,
2998,249,샌드위치_티라미수 샌디,3.87,,,16.4,
2891,202,샌드위치_ 파니니 바비큐 치킨,7.73,,,2.27,
2999,243,샌드위치_페스토 햄 모짜렐라 샌드위치,13.51,,,4.32,
3000,269,샌드위치_페스토햄치즈 파니니,11.29,,,1.61,
3001,303,샌드위치_페퍼로니 머쉬룸 깜빠뉴,16.11,,,0.56,
3003,287,샌드위치_페퍼로니 피자 샌드위치,13.33,,,4.67,
3004,344,샌드위치_프룻티아 오 샌드 스트로베리,6.25,,,10,
3005,178,샌드위치_플랜트 햄&루꼴라 샌드위치,5.56,,,4.44,
3007,227,샌드위치_필리스테이크바게트 파니니,8.18,,,4.55,
3008,169,샌드위치_할라피뇨 치킨 샌드위치,9.94,,,2.76,
3009,244,샌드위치_할라피뇨스테이크바게트 샌드위치,10.25,,,3.28,
3011,285,샌드위치_햄 에그 번 샌드위치,7.84,,,7.25,
3012,197,샌드위치_햄&루꼴라 올리브 샌드위치,10.53,,,2.11,
3014,164,샌드위치_햄&에그 반미 샌드위치,7.81,,21.93,1.12,
3019,281,샌드위치_햄앤치즈샌드,8,,,12,
3018,269,샌드위치_햄앤치즈 샌드위치,7.5,,,11.25,
3020,266,샌드위치_햄에그 치아바타,12.9,,,3.23,
3022,185,샌드위치_햄치즈 샌드위치,5.51,5.91,27.56,3.54,25.59
3023,259,샌드위치_햄치즈 잉글리쉬머핀 샌드위치,11.67,,,6.67,
3027,218,샌드위치_훈제베이컨에그 반미 샌드위치,11.07,,22.14,1.53,
2894,176,샌드위치_BELT 샌드위치,5.93,,,3.39,
2900,167,샌드위치_그릴치킨 당근라페 샌드위치,10.29,,,6.37,
2903,164,샌드위치_단호박 크림치즈 샌드위치,4.38,,,6.2,
2910,192,샌드위치_더블햄모짜렐라 샌드위치,7.14,,,3.33,
2916,381,샌드위치_리터샌드,10,,37.5,8.75,
2917,182,샌드위치_매콤치킨랩 샌드위치,8,,,13.6,
2920,329,샌드위치_멜팅치즈 샌드위치,13.33,,,5,
2928,292,샌드위치_바질토마토 치킨 소금빵,14.94,,,3.45,
2930,293,샌드위치_버터품은 설탕치즈 크로와상 샌드위치,8.75,20,32.5,10,56.25
2935,279,샌드위치_불고기치즈 바게트,10.91,,,4.24,
2934,261,샌드위치_불고기 파니니,8.15,,,2.22,
2940,208,샌드위치_살라미에멘탈 샌드위치,7.7,8.5,25.1,4,
2955,259,샌드위치_에그마요 소금빵,9.15,,,1.31,
2956,205,샌드위치_에그쉬림프 샌드위치,7.59,,,5.36,
2957,183,샌드위치_에그쏙텐더 샌드위치,6.77,,,3.69,
2958,254,샌드위치_에그튜나 샌드위치,8.96,,,5.22,
2959,362,샌드위치_에멘탈 햄치즈 소금빵,11.59,,,5.8,
2960,367,샌드위치_여봉 잠봉뵈르 먹어 크로와상 샌드위치,13,24,22,3,68
2964,301,샌드위치_인절미 토스트,5.88,,,2.35,
2978,270,샌드위치_카야치즈토스트,7.04,,,14.72,
2979,286,샌드위치_카야토스트,5.07,,,14.78,
2983,285,샌드위치_콰트로치즈 파니니,13.81,,37.35,4.19,
2987,233,샌드위치_크랜베리치킨 베이글 샌드위치,9.02,,,6.77,
2993,221,샌드위치_토마토아이올리 샌드위치,9.5,11.2,20.5,2.1,
2994,270,샌드위치_통밀튜나 샌드위치,8.2,,,8.2,
2996,304,샌드위치_트리플 치즈 포카치아,15.71,,,1.43,
3002,305,샌드위치_페퍼로니 파니니,9.08,,34.33,3.03,
3006,251,샌드위치_피크닉튜나 샌드위치,8.23,,,6.17,
3010,289,샌드위치_핫치킨 파니니,14.72,,37.48,6.11,
3013,203,샌드위치_햄&에그 로메인 샌드위치,9.85,,,3.79,
3021,304,샌드위치_햄에그 파니니,12.9,,,2.58,
3025,314,샌드위치_햄치즈잉글리시 머핀,12.12,,43.08,4.69,0.02
3024,283,샌드위치_햄치즈 토스트,12.86,,,2.86,
3026,137,샌드위치_햄치토 크로와상 샌드위치,3.48,8.26,12.61,3.04,13.91
3142,283,소보로빵_단팥소보루,7.63,,,18.33,
3143,290,소보로빵_달콤고소한밤롤브레드,7,,,13,
3144,466,소보로빵_땅콩크림 소보로,8.82,,,19.61,
3145,361,소보로빵_맘모스 딸기,8,,,20,
3146,368,소보로빵_맘모스브레드,7.06,,,21.18,
3147,348,소보로빵_맘모스빵,7.2,,,18.4,
3148,300,소보로빵_밤롤브레드,7,,,13,
3150,414,소보로빵_생크림 소보로,8.6,,,17.2,
3151,388,소보로빵_생크림 소보루,8.24,,,18.82,
3152,370,소보로빵_생크림소보루,6.96,,,17.39,
3153,421,소보로빵_소보로빵,9.21,,,19.74,
3155,383,소보로빵_소보루빵,9.72,,,18.06,
3157,305,소보로빵_스위트밀크브레드,8,,,18,
3158,346,소보로빵_쑥이듬뿍 맘모스,7.14,,,23.21,
3160,338,소보로빵_쫄깃한 찰떡맘모스,6.25,,,13.75,
3161,290,소보로빵_찹쌀숨은 소보루,8,,,11,
3163,394,소보로빵_튀김 소보로,7.06,,,22.35,
3140,364,소보로빵_PB달콤한크림정통소보루,7.27,17.27,46.36,16.36,13.64
3141,388,소보로빵_PB정통소보루,8.75,15,55,18.75,0
3149,288,소보로빵_밤소보루맘모스,7.14,8.93,48.21,17.86,3.57
3154,248,소보로빵_소보루 완두앙금빵,5.71,5.71,44.76,20,0
3156,355,소보로빵_소보루생크림빵,6.36,19.09,40,13.64,13.64
3159,348,소보로빵_진짜고구마 소보로,6.09,,,22.61,
3162,401,소보로빵_클래식딸기잼 맘모스,6.49,,,21.08,
3168,319,소세지빵_감자샐러드 소세지빵,10.37,,,4.44,
3170,292,소세지빵_돌돌말린모짜렐라치즈소시지,12.8,,,2.4,
3171,276,소세지빵_든든한통소시지빵,8.82,,,5.29,
3172,341,소세지빵_롱소시지 빼로야,14.81,,,3.7,
3173,248,소세지빵_뽀드득그릴소시지,7.83,,,5.22,
3174,260,소세지빵_소세지빵,9.87,,,0.52,
3175,298,소세지빵_소시지빵,11.7,,,5.32,
3176,315,소세지빵_소시지소프트프랑스,9.88,19.14,25.31,6.17,30.86
3177,285,소세지빵_소시지조리빵,10,,,8,
3179,335,소세지빵_스모크소시지빵 할라피뇨,12,,,3,
3178,346,소세지빵_스모크 소시지빵,12.4,,,3.88,
3180,286,소세지빵_오징어깨임,10.92,,,2.52,
3181,262,소세지빵_추억의소시지빵,5.38,,,6.92,
3184,308,소세지빵_후라잉소시지포테이토,9.17,,,5,
3167,262,소세지빵_NEW추억의소시지빵,5.38,15.38,25.38,6.92,11.54
3169,292,소세지빵_길어서 더 든든한 롱롱소시지빵,10.12,16.07,26.79,7.14,29.76
3182,250,소세지빵_탱글탱글 뽀드득 소시지,10.45,12.69,24.63,8.21,18.66
3183,321,소세지빵_허니마요 소세지,11,18.9,26.6,3.6,
3803,436,스콘_건포도 스콘,5.56,,,26.67,
3804,428,스콘_고메버터 스콘,5.4,24.6,46.3,16.7,
3805,471,스콘_녹차 마카다미아 스콘,7.22,,,15.46,
3806,421,스콘_더블치즈 스콘,6.45,,,22.58,
3808,366,스콘_라즈베리잼&크림 스콘,5,,,11.25,
3809,446,스콘_리얼초코 스콘,6.5,25.3,48,17.8,
3810,381,스콘_무화과 스콘,5,,,17.5,
3811,380,스콘_무화과스콘,5,,,17,
3812,475,스콘_미니 클래식 스콘,7.29,,,12.5,
3814,375,스콘_바질 스콘,5,,,12.5,
3815,412,스콘_블루베리 스콘,4.9,22.4,47.6,21.3,
3816,486,스콘_스콘 건포도,5.56,,,21.11,
3817,407,스콘_스콘 시나몬호두,4.44,,,21.11,
3818,466,스콘_아몬드 달고나 스콘,9,,,16,
3819,438,스콘_아몬드 스콘,6.15,,,21.54,
3820,411,스콘_앙버터 스콘,7.22,,,22.22,
3821,350,스콘_애플시나몬 스콘,3.75,,,13.75,
3822,473,스콘_얼그레이 스콘,7.5,,,12.5,
3823,410,스콘_오리지널버터,6,,,10,
3825,571,스콘_초코 스콘,12.22,,,21.11,
3826,426,스콘_초코칩 스콘,6.32,,,13.68,
3827,480,스콘_치즈 넛츠 스콘,11.11,,51.11,,
3828,400,스콘_크랜베리 미니 스콘,5.71,,,20,
3829,414,스콘_크랜베리 스콘,6.67,,,13.33,
3830,446,스콘_클래식 스콘,3.81,,,16.19,
3831,454,스콘_트리플 미니 스콘,7.77,,,15.53,
3832,400,스콘_플레인 미니 스콘,5.71,,,8.57,
3833,469,스콘_플레인 스콘,6,,,17,
3834,415,스콘_피넛 쑥 떡 스콘,5.93,,,22.88,
3807,408,스콘_라즈베리 스콘,5.1,22.7,45.8,15.8,
3813,422,스콘_밀크 스콘,6.35,,,14.94,
3824,441,스콘_제주봄빛말차 스콘,6.7,24.7,48,16.5,
3905,376,식빵_64겹 페스트리 식빵,8,,,11,
3909,245,식빵_고구마가달구마,5,,,14,
3914,281,식빵_공주밤 식빵,1.6,,,10.4,
3915,327,식빵_굿모닝 식빵,13,,,6,
3917,265,식빵_담백하고 쫄깃한 뜯어먹는 식빵,7,6,44,6,1.6
3918,322,식빵_더블롤치즈 식빵,11.84,,,5.7,
3919,300,식빵_데니쉬식빵,7,,,3,
3920,265,식빵_뜯어먹는 쫄깃하고담백한식빵,7,,,6,
3921,287,식빵_뜯어먹는롤치즈브레드,9.09,11.27,36.73,4.73,12.73
3922,285,식빵_뜯어먹는롤치즈식빵,9,,,5,
3923,255,식빵_뜯어먹는밤식빵,5,,,4,
3924,275,식빵_뜯어먹는크랜베리식빵,6,,,16,
3926,285,식빵_롤치즈식빵,9,,,2,
3928,385,식빵_모닝토스트,8,,,7,
3929,393,식빵_모카크림식빵,6,20.67,47.33,18,6.67
3930,386,식빵_모카패스트리 식빵,8.33,,,13.06,
3932,400,식빵_미니모카패스트리 식빵,8.89,,,12.78,
3933,291,식빵_밀크후레쉬 식빵,9,,,4,
3934,282,식빵_밤식빵,5.64,,,7.69,
3935,265,식빵_밤콩달콩 두유 브레드,7.1,,,17.42,
3936,291,식빵_밤페스트리 식빵,6,,,10,
3937,329,식빵_부드럽고촉촉한 식빵,10,,,8,
3938,345,식빵_브리오슈 식빵,9.1,,,7.2,
3940,319,식빵_블루베리요거트롤,8,,,15,
3941,273,식빵_뺑드미 식빵,8,,,6,
3942,275,식빵_상미종 생식빵,7,,,8,
3943,310,식빵_소보루듬뿍데니쉬식빵,7,,,4,
3945,283,식빵_순수한맛순우유 식빵,9.02,,,8.05,
3946,315,식빵_스위트밀크식빵,8,,,18,
3948,403,식빵_시나몬롤식빵,6.5,,,28.5,
3951,307,식빵_압구정 식빵,6.1,,,9.2,
3952,298,식빵_오늘도 소식,11.8,,,6.3,
3953,303,식빵_오렌지 크림치즈롤,6.7,13.6,38.5,12.9,
3954,262,식빵_옥수수 식빵,8,,,6,
3958,280,식빵_촉촉함은 담은 쫄깃한 식빵,9,,,2,
3961,271,식빵_크랜베리캄파뉴 식빵,7.1,5.7,47.7,8.1,
3964,333,식빵_통밤가득밤 식빵,10,,,9,
3965,335,식빵_페스트리 식빵,8,,,1,
3966,238,식빵_피칸시나몬롤,9,,,13,
3947,351,식빵_스윗 밀크 브레드,8.6,13.8,48,11.5,
3906,369,식빵_72겹의정성데니쉬 식빵,7.73,,,15.73,
3907,370,식빵_NEW 모닝토스트,8,16,48,7,0.86
3908,336,식빵_NEW 밤식빵,7.69,,,9.49,
3910,222,식빵_고구마슈크림식빵,5.42,6.5,36.1,9.39,30.69
3911,240,식빵_고소담백더치 브레드,7.14,,,4.29,
3912,352,식빵_고소한 소보루데니쉬식빵,7.19,12.81,52.19,7.5,0
3913,249,식빵_고소함이톡톡곡물 식빵,8.64,,,4.45,
3916,362,식빵_달콤향긋한시나몬식빵,5.97,14.93,52.99,23.13,2.61
3925,400,식빵_러스크,5,20,50,20,25
3927,293,식빵_마구마구밤 식빵,6.38,,,17.24,
3931,253,식빵_무화과깜빠뉴 식빵,6.53,,54.18,17.78,
3939,258,식빵_블랙올리브탕종식빵,7.11,6.16,43.6,4.27,0
3944,311,식빵_소화가 잘되는 식빵,9.1,9.2,47.9,5.9,
3949,385,식빵_시나몬모닝토스트,7,15,50,10,0.86
3950,306,식빵_아침엔보리 쌀롤,6.94,,,8.33,
3955,269,식빵_인생 식빵,9.4,4,48.8,8.8,
3957,292,식빵_착한빵식 통밀빵,8.57,,,11.84,
3956,292,식빵_착한빵 식통밀식빵,8.38,,,12.07,
3959,280,식빵_촉촉함을 담은 쫄깃한 식빵,9,6,47,2,0.81
3960,333,식빵_카야넛 쌀식빵,10.2,10.5,49.5,8.4,
3962,336,식빵_통밀 씨드 식빵,12.1,13.5,41.5,3.8,
4286,253,앙금빵_고구마앙금빵,5.26,,,12.63,
4287,249,앙금빵_마구마구 고구마,5.95,,,15.3,
4288,298,앙금빵_앙금빵의 정석 망고,6.67,1.5,63.33,53.33,11.67
4289,298,앙금빵_앙금빵의 정석 메론,6.67,1.33,65,35,11.67
4290,387,앙금빵_앙버터 라우겐,7.33,,,14.67,
4292,300,앙금빵_완두 앙금빵,7.5,,,25,
4293,255,앙금빵_완두앙금빵,7,,,19,
4294,281,앙금빵_완전소중한완두 앙금빵,7.19,,,27.34,
4295,330,앙금빵_적앙금트위스트,8,,,19,
4296,341,앙금빵_찹쌀앙금빵,7.06,,,29.41,
4314,332,야채빵_야채넣은 롤빵,12,,,8,
4315,368,야채빵_양파꽃이피었습니다,7.86,,,6.43,
4317,283,야채빵_올리브야채 브레드,8,,,8,
4318,354,야채빵_햄야채롤,10.61,,,2.53,
4312,333,야채빵_맛살크림 샐러드,7.78,,,8.89,
4313,197,야채빵_야채 샐러드,4.17,,,8.33,
4316,245,야채빵_에그마요 샐러드,8.33,,,4.17,
4572,360,와플_17곡 크로플,7,,,5,
4571,300,와플_17곡 와플,5.38,,55.38,20,
4577,211,와플_가나슈 와플,3.45,,,11.95,
4578,314,와플_고구마 와플,5.33,,,14,
4579,223,와플_그린티 아이스크림 와플,3.26,,,9.3,
4580,430,와플_꿀호떡 크로플,8.57,,,15.71,
4581,207,와플_녹차와플&젤라또,2.98,,,12.06,
4584,243,와플_누텔라딸기 와플,3.37,,,16.77,
4585,241,와플_누텔라바나나 와플,3.25,,,16.3,
4583,419,와플_누텔라 와플,5.71,,,23.81,
4582,256,와플_누텔라 아이스크림 와플,2.94,,,14.71,
4586,248,와플_누텔라초코 와플,3.69,,,13.52,
4587,384,와플_누텔라크림치즈 와플,6.09,,,13.91,
4588,241,와플_누텔라키위 와플,3.31,,,16.1,
4590,323,와플_단팥생크림 와플,4.24,,,17.58,
4591,258,와플_달고나 아이스크림 와플,2.78,,,23.61,
4592,460,와플_더치카라멜 와플,3.81,,,35.87,
4593,241,와플_돼지바크런치 와플,3.69,,,13.49,
4595,372,와플_딸기 크로플,5.78,,,27.34,
4596,305,와플_딸기누텔라 와플,4.12,,38.82,15.88,
4597,242,와플_딸기누텔라젤라또 와플,3.6,,35.6,17.6,
4598,220,와플_딸기듬뿍 와플,1.82,,33.18,11.82,
4599,227,와플_딸기범벅젤라또 와플,2.22,,33.33,15.93,
4594,297,와플_딸기 와플,2.67,,40,16,
4601,194,와플_딸기커스타드 와플,3.41,,,13.38,
4602,245,와플_딸기케이크 와플,3.13,,35.63,9.38,
4603,268,와플_딸기크림 크로플,3.33,,,22.72,
4605,211,와플_라즈베리바나나 와플,1.79,,,22.46,
4607,247,와플_로투스 와플,4.39,,,12.23,
4611,284,와플_리얼초코 아이스크림 와플,3.16,,,15.79,
4614,223,와플_망고범벅 와플,2.33,,34.33,17,
4618,425,와플_메이플 와플,3.61,,,33.73,
4619,377,와플_메이플 월넛 크림치즈 크로플,6.32,,,18.95,
4620,332,와플_메이플시나몬 와플,4.44,,60,18.89,
4621,322,와플_메이플아몬드 와플,2.93,,,19.11,
4622,377,와플_미니 와플,6.67,,,20,
4623,252,와플_민트초코 아이스크림 와플,3.33,,,19.52,
4624,379,와플_민트초코 크로플,5.22,,,18.26,
4625,339,와플_밀크카라멜 와플,3.64,,,18.18,
4627,284,와플_바나나누텔라 와플,3.7,,,16.3,
