음식id,칼로리,음식명,단백질,지방,탄수화물,당류,콜레스트롤
467,162,김밥_샐러드,3.85,5.41,24.58,1.37,33.83
636,69,누룽지_뜨거운물첨가,1.32,0.1,15.06,1.15,0
891,97,덮밥_송이버섯,3.04,2.34,15.93,0.38,8.03
893,105,덮밥_유산슬,4.9,3.46,13.44,0.08,21.98
894,179,덮밥_장어,7.52,5.74,24.34,1.4,58.64
895,136,덮밥_참치,5.84,3.35,20.59,0.6,23.16
896,110,덮밥_해물,6.01,3.21,14.35,0.17,40.89
1657,187,리소토/리조또_간편조리세트_베이컨버섯크림리조또,3.11,12.29,15.9,2.09,9.86
1658,176,리소토/리조또_간편조리세트_쉬림프로제리조또,3.35,9.77,18.57,3.84,11.6
1959,68,묵밥,1.56,0.81,13.54,1.59,4.49
2549,186,볶음밥_간편조리세트_돼지불백깍둑볶음누룽밥,10.82,7.84,17.92,4.16,48.58
2562,172,볶음밥_삼선,6.56,6.62,21.44,0.4,81.63
2570,176,볶음밥_해물,6.28,6.75,22.61,0.31,60.45
2631,103,비빔밥_간편조리세트_꼬막비빔밥,7.33,3.29,11.01,5.31,29.47
2634,137,비빔밥_멍게,4.15,3.28,22.68,4.18,5.48
2637,128,비빔밥_약초,2.98,3.98,20.05,0.73,0
2855,165,삼각김밥_고추장불고기,3.66,1.58,34.11,0.21,3.51
2856,161,삼각김밥_숯불갈비,4,1.67,32.55,0.16,4.04
2890,202,새우튀김롤,4.82,6.06,32.09,3.71,18.62
3973,166,쌀밥,3.36,0.32,37.33,0.02,0
4283,124,알밥_간편조리세트_갑오징어알뚝밥,9.82,4.88,10.21,2.63,143.7
4473,170,연어롤,6.19,5.13,24.77,2.82,20.66
4475,207,연잎밥,4,0.3,47,,
4488,156,오곡밥,4.78,0.52,32.93,0.07,0
4928,104,잡탕밥,5.88,2.68,13.99,0.06,43.98
4989,208,주먹밥_멸치,6,4.4,36.2,0.6,28.3
5006,136,짜장밥_오징어,6.3,2.8,21.5,,
5072,151,초밥_광어,9.02,1.31,25.85,2.57,15.58
5073,159,초밥_농어,6.97,0.53,31.5,5.2,10.6
5075,157,초밥_문어,5.85,0.3,32.71,5.35,28.03
5076,130,초밥_새우,7.78,1.94,20.41,3.95,56.34
5077,207,초밥_연어,11.2,9.36,19.59,3.62,27.84
5079,195,초밥_장어,6.61,4.33,32.27,5.47,41.11
5080,150,초밥_한치,5.48,0.34,31.17,5.25,40.03
5093,146,충무김밥,5.86,1.49,27.29,4.3,39.21
5257,163,캘리포니아롤,4.11,3.02,29.74,2.97,21.99
6310,173,콩밥_강낭콩,4.38,0.39,38.04,0.1,0
8846,137,회덮밥,6.04,3.31,20.66,2.19,17.73
2,205,가래떡_흑미,3.5,0,47.8,,
92,206,개피떡,5.32,0.81,44.3,7.62,0
117,237,경단_찹쌀_카스텔라,4.1,1.8,51.1,,
118,314,경단_콩,3.51,0.46,74.03,20.55,0
455,220,기피편,5.45,0.25,48.99,2.08,0
1919,190,모싯잎송편_동부,5.65,0.66,40.29,3.18,0
1951,229,무지개떡,3.53,0.31,53.01,8.99,0
2205,229,백설기_검정콩,5.75,1.46,48.31,2.07,0
2717,168,빙떡,6.18,6.29,21.62,0.62,8.05
3196,200,송편_검정콩,6.9,0.8,41.2,,
3198,194,송편_콩,5.24,0.75,41.66,1.26,0
3199,200,송편_팥,5.4,0.4,43.6,,
3202,218,수수경단,8.2,1.4,43.1,,
3204,248,수수부꾸미,5.73,6.29,42.1,0.24,0
3205,204,수수팥떡,6.7,0.59,43.03,2.82,0
3901,246,시루떡_녹두,7.74,2.53,48.08,4.05,0
3994,249,쑥떡,3.36,0.4,57.89,10.72,0
4853,231,인절미_콩고물,5.52,1.15,49.69,2.81,0
4854,204,인절미_팥고물,4.2,0.9,44.8,,
4960,197,절편,3.82,0.8,43.58,0.08,0
5031,181,찰시루떡,6.63,0.41,37.63,1.22,0
5049,277,찹쌀떡,3.26,0.15,65.61,17.54,0
646,369,다식_송화,8.3,4.48,73.97,26.65,0
647,447,다쿠아즈,8.33,26.65,43.39,38.13,39.99
1682,480,마카롱,6.92,30.11,45.23,41.94,26.1
2442,383,버터크림빵,8.18,18.41,46.23,11.99,29.69
2906,250,샌드위치_닭고기,16.28,11.19,20.89,3.64,35
2942,257,샌드위치_생선,10.29,12.45,26.69,3.53,35
2943,244,샌드위치_소고기,15.17,10.3,22.21,3.84,30
2945,276,샌드위치_소시지,10.3,15.57,23.74,3.56,31
3016,284,샌드위치_햄_치즈,8.57,15.75,26.95,4.13,33.57
3017,214,샌드위치_햄_치즈_채소,8.66,10.38,21.55,4.67,23.54
3963,279,식빵_통밀식빵,9.33,5.26,48.64,4.49,11.48
4291,372,앙금빵_앙버터빵,7,19.72,41.64,16.29,31.27
6160,420,케이크_초콜릿케이크,5.31,24.96,43.6,23.13,50.84
6166,329,케이크_치즈케이크,7.23,20.63,28.64,15.28,126.78
6420,301,크로켓_채소,7.13,16.38,31.19,3.37,41.89
6715,318,파이/만주_만주,7.33,2.34,66.86,32.07,22.39
6840,312,프레즐,8.37,6.45,55.14,7.94,19.78
8084,277,피자_치즈피자,15.7,7.9,35.6,3.4,24.02
8319,266,피자_페퍼로니피자,14.7,7.4,35.15,3.75,20.87
8384,251,피자_포테이토피자,11.2,10.2,28.64,3.4,19.58
8580,341,핫도그,7.98,23.23,24.95,3.95,12.64
8583,324,핫도그_감자,8.31,23.17,20.45,2.3,15.66
8590,318,핫도그_모짜렐라,11.78,17.83,27.58,2.43,18.63
8649,271,햄버거_소고기패티,11.94,8.94,35.76,6.59,14.77
